attribute,completeness,uniqueness,consistency,readability,name
address,100.0,0.3081664098613251,100.0,100.0,student por
famsize,100.0,0.3081664098613251,100.0,0.0,student por
Pstatus,100.0,0.3081664098613251,100.0,100.0,student por
Medu,100.0,0.7704160246533128,100.0,100.0,student por
Fedu,100.0,0.7704160246533128,100.0,100.0,student por
Mjob,100.0,0.7704160246533128,100.0,58.24345146379045,student por
Fjob,100.0,0.7704160246533128,100.0,65.63944530046226,student por
reason,100.0,0.6163328197226503,100.0,100.0,student por
guardian,100.0,0.4622496147919877,100.0,100.0,student por
traveltime,100.0,0.4622496147919877,100.0,100.0,student por
studytime,100.0,0.6163328197226503,100.0,100.0,student por
failures,100.0,0.3081664098613251,100.0,100.0,student por
schoolsup,100.0,0.3081664098613251,100.0,100.0,student por
famsup,100.0,0.3081664098613251,100.0,100.0,student por
paid,100.0,0.3081664098613251,100.0,100.0,student por
activities,100.0,0.3081664098613251,100.0,100.0,student por
nursery,100.0,0.3081664098613251,100.0,100.0,student por
higher,100.0,0.3081664098613251,100.0,100.0,student por
internet,100.0,0.3081664098613251,100.0,100.0,student por
romantic,100.0,0.3081664098613251,100.0,100.0,student por
famrel,100.0,0.6163328197226503,100.0,100.0,student por
freetime,100.0,0.7704160246533128,100.0,100.0,student por
goout,100.0,0.7704160246533128,100.0,100.0,student por
Dalc,100.0,0.4622496147919877,100.0,100.0,student por
Walc,100.0,0.7704160246533128,100.0,100.0,student por
health,100.0,0.7704160246533128,100.0,100.0,student por
absences,100.0,2.6194144838212634,100.0,100.0,student por
G1,100.0,2.465331278890601,100.0,100.0,student por
G2,100.0,2.311248073959938,100.0,100.0,student por
G3,100.0,0.3081664098613251,100.0,100.0,student por
decile1b,100.0,0.0534988230258934,100.0,100.0,law school
decile3,100.0,0.0534988230258934,100.0,100.0,law school
lsat,100.0,0.5884870532848278,100.0,100.0,law school
ugpa,100.0,0.1069976460517868,100.0,100.0,law school
zfygpa,100.0,2.8728867964904774,100.0,100.0,law school
zgpa,100.0,2.9745345602396744,100.0,100.0,law school
fulltime,100.0,0.0053498823025893,100.0,100.0,law school
fam_inc,100.0,0.0267494115129467,100.0,100.0,law school
male,100.0,0.0106997646051786,100.0,100.0,law school
racetxt,100.0,0.0053498823025893,100.0,100.0,law school
tier,100.0,0.032099293815536,100.0,100.0,law school
pass_bar,100.0,0.0053498823025893,100.0,100.0,law school
checking_status,100.0,0.4,100.0,0.0,credit-g
duration,100.0,3.1,100.0,100.0,credit-g
credit_history,100.0,0.5,100.0,0.0,credit-g
purpose,100.0,1.0,100.0,50.8,credit-g
credit_amount,100.0,92.1,100.0,100.0,credit-g
savings_status,100.0,0.5,100.0,0.0,credit-g
employment,100.0,0.5,100.0,6.2,credit-g
installment_commitment,100.0,0.4,100.0,100.0,credit-g
personal_status,100.0,0.4,100.0,54.8,credit-g
